,Date,Mask,Bit Day 1,Bit Day 2,Bit Day 3,Bit Price,Gold Day 1,Gold Day 2,Gold Day 3,Gold Price,Gold Gain,Bit Gain,Gold 20 Days BIAS,Bit 5 Days BIAS,Gold Bull Market,Bit Bull Market,Gold Risk,Bit Risk,Org Bit Price,Org Gold Price,Bit ARIMA,Gold ARIMA
445,445,0,397.7984,375.6136,392.70633,-0.32512157374378226,1063.5299,1068.0189,1072.1145,-0.8112969390975078,-0.17142857142857038,0.04100325224407991,-0.10552343033971959,0.0334562545733183,-0.7599164529597009,0.20408333108004895,0.6971744372267841,-0.1398446990449126,402.80899,1079.3,393.36040773406086,1059.9431557484208
446,446,1,402.12756,397.1905,379.13382,-0.33515230549444675,1075.3248,1067.2438,1070.5323,-0.8333859261596723,-0.2483516483516473,-0.19412149811066545,-0.14802641127719934,-0.09574921067263734,-0.7565615572708408,0.24113107985461513,0.7038194320977522,-0.14377956077164655,399.968994,1075.8,402.0540691866368,1077.1926539430776
447,447,1,399.823,401.9597,397.83932,-0.28007505512667463,1075.7616,1075.5321,1069.5535,-0.8567371410539613,-0.2527472527472527,0.07909409787222718,-0.1980212979727353,-0.02397551909026549,-0.7775338485939585,0.32688292919419837,0.7344093526151612,-0.2297453591740205,415.562988,1072.1,396.1839707493986,1073.759651271297
448,448,1,416.66022,401.04553,402.95078,-0.2533840632890474,1073.3485,1075.0952,1074.9232,-0.8005680025244564,0.024175824175827254,-0.04002445395034428,-0.08336824769882917,-0.08030662067798713,-0.7707982287653605,0.38654424305498536,0.7020575083782203,-0.26753103025237446,423.119995,1081.0,416.956260661284,1071.4010023163012
449,449,1,422.382,416.059,401.88403,-0.2661379165007405,1075.2915,1071.7964,1073.0975,-0.8636793941306413,-0.39120879120879015,-0.2055486569428246,-0.2041409577848702,-0.18902827853781867,-0.786542686377061,0.37586077346341956,0.7440409585835825,-0.23614098754963886,419.509003,1071.0,423.96867546504456,1082.0745502097118
450,450,1,419.0535,421.87988,416.07324,-0.15160027296838274,1070.2908,1072.2087,1069.5557,-0.8542126853897134,-0.13846153846153741,0.3286104586509645,-0.17902318653346957,0.05393847156087955,-0.809807784658594,0.34426672373009926,0.7595645356790728,-0.2603050588738758,451.937988,1072.5,419.0680196630295,1071.845551331445
451,451,0,451.0394,418.94968,421.594,-0.09097427181319051,1070.2908,1072.2087,1069.5557,-0.8542126853897134,-0.17142857142857038,0.10237857396899519,-0.17306104495706168,0.07867171763533526,-0.8217906436518361,0.3928433247459429,0.7691537090025506,-0.3057023031261735,469.102997,1072.5,454.1213186732277,1071.845551331445
452,452,0,465.6125,448.31296,418.55505,-0.1878310268654506,1070.2908,1072.2087,1069.5557,-0.8542126853897134,-0.17142857142857038,-0.5584735012186318,-0.1743436637073543,-0.26383665962189673,-0.84620855850763,0.3230653857965075,0.7917628507131342,-0.17686790718605416,441.679993,1072.5,469.41887338724143,1071.845551331445
453,453,1,439.5298,462.97745,447.06903,-0.16853948315349188,1068.7412,1067.7566,1069.2393,-0.880719469864311,-0.2637362637362637,-0.07107509572759153,-0.22285985125144883,-0.2571622150958598,-0.8839572910085403,0.2807140265949103,0.8373472884224991,-0.1431409604925158,447.141998,1068.3,434.6423350799572,1074.5875774538088
454,454,1,446.78763,439.14688,461.47873,-0.1043320571616817,1066.4119,1066.6111,1065.8477,-0.9236352161565167,-0.32087912087911885,0.11740747041712302,-0.30569282943210385,-0.16683598367980956,-0.9131121011712962,0.28409199712548117,0.882918268912606,-0.1646620147857969,465.321014,1061.5,449.9937822355768,1068.8209947403902
455,455,1,464.2895,445.66745,438.29828,-0.10473118901687273,1063.1315,1065.4421,1065.5967,-0.8365414957399819,0.13186813186813195,-0.15370397601754351,-0.1319237414176002,-0.1950734618892417,-0.9166135040669301,0.2870218843119804,0.8464153996531913,-0.16123857762306437,465.208008,1075.3,469.5907679102854,1060.0081622604775
456,456,1,463.21616,462.29086,444.52603,-0.13068405923595505,1069.1829,1063.5253,1065.2911,-1.0,-0.7406593406593367,-0.2609362942297899,-0.4581573174991013,-0.24588990161295948,-0.9709232766885552,0.32860658062608306,0.9705884092599573,-0.18518125710345046,457.859985,1049.4,465.3894103358917,1076.693036231001
457,457,1,456.13492,461.6128,460.7318,-0.10484070074458685,1060.3259,1070.3071,1065.899,-0.9173240769958984,0.11648351648351557,-0.04358141643540195,-0.2937908378176624,-0.2201309158659594,-0.972440127761206,0.3424460904469374,0.9344201273601924,-0.2019932333644079,465.177002,1062.5,456.1876247966951,1045.0494655991006
458,458,0,464.32858,454.96793,460.23376,-0.10341382007946831,1060.3259,1070.3071,1065.899,-0.9173240769958984,-0.17142857142857038,-0.14604139636485042,-0.29703394676115663,-0.25289495874244217,-0.991890179737323,0.37675239006821654,0.9529369602766957,-0.22364341675841148,465.580994,1062.5,465.45837231666025,1045.0494655991006
459,459,0,464.09363,462.78656,453.81345,-0.11378365108402222,1060.3259,1070.3071,1065.899,-0.9173240769958984,-0.17142857142857038,-0.19554447578151785,-0.2974153872385438,-0.27656542192063144,-0.9914603516364136,0.2826998674730743,0.952631282376462,-0.14076584116774593,462.644989,1062.5,464.02903638806754,1045.0494655991006
460,460,1,461.24023,462.77203,461.52594,-0.17706206400570546,1066.5203,1065.3494,1072.974,-0.8144525086778174,0.18681318681318687,-0.4175671720893618,-0.09761031763456857,-0.4142125619666214,-0.9742058735571799,0.1433427960644511,0.8912104221014072,0.003292592332905908,444.729004,1078.8,462.2620073043703,1063.2688000677044
